feature,games,accuracy,log_loss,brier
rush_success_ewm_diff,3018,0.5616302186878728,0.6817128336254229,0.2443617157156907
def_pass_epa_l5_diff,3018,0.5556660039761432,0.6817523267618417,0.24436066678704818
def_wp_added_l8_diff,3018,0.5669317428760768,0.6819518800270463,0.24443317229044398
qb_hit_rate_ewm_diff,3018,0.5556660039761432,0.6819531294471493,0.24452830785785426
rush_success_l5_diff,3018,0.5559973492379059,0.6822794103484585,0.2446423005869652
def_epa_per_play_l8_diff,3018,0.5685884691848907,0.682285989797413,0.2446054914605666
def_pass_epa_ewm_diff,3018,0.5536779324055666,0.6824067770086626,0.2446835229991424
plays_per_drive_l8_diff,3018,0.562624254473161,0.6824244684319908,0.24471466060263813
def_wp_added_l5_diff,3018,0.5603048376408217,0.6824935002302076,0.2447188840595148
def_total_epa_l5_diff,3018,0.559973492379059,0.6825371059600969,0.24474886926561756
plays_per_drive_l5_diff,3018,0.559973492379059,0.682570967382545,0.24479288657366216
rush_success_std_diff,3018,0.5563286944996687,0.6826385015882194,0.24477104831186883
qb_hit_rate_l3_diff,3018,0.5583167660702452,0.6826957822214559,0.24488097453404498
explosive_pass_rate_l3_diff,3018,0.5619615639496355,0.6827851561624698,0.24485201342838897
explosive_pass_rate_std_diff,3018,0.5646123260437376,0.682867277071355,0.24483118885958657
rush_epa_l8_diff,3018,0.5457256461232605,0.6828761635817971,0.24491804359710334
def_early_down_epa_l8_diff,3018,0.5596421471172962,0.6831300214779736,0.2450343682800946
def_yards_per_play_l5_diff,3018,0.5632869449966865,0.683182688836274,0.24508017017979106
plays_per_drive_ewm_diff,3018,0.5543406229290921,0.6832033031260949,0.245060060827813
def_total_epa_l8_diff,3018,0.562624254473161,0.6832553330707416,0.24507399990679046
def_early_down_epa_l5_diff,3018,0.5583167660702452,0.6833511645632852,0.2451558777656688
def_wp_added_ewm_diff,3018,0.5576540755467196,0.6834028955816073,0.2451604715562985
turnovers_per_drive_l8_diff,3018,0.5536779324055666,0.6836146458902427,0.2452674755753947
def_epa_per_play_ewm_diff,3018,0.5540092776673293,0.6836510442674769,0.24530072054514682
rush_success_l3_diff,3018,0.5500331345261763,0.683866255190081,0.24542259514060363
plays_per_drive_std_diff,3018,0.5606361829025845,0.6839609642334296,0.24536104403276623
def_pass_success_l8_diff,3018,0.5530152418820411,0.6840236089688886,0.2454620092505405
def_yards_per_play_l8_diff,3018,0.5589794565937707,0.6841184125854921,0.24552327711525385
def_early_down_epa_ewm_diff,3018,0.5556660039761432,0.6841904784476813,0.24556315782015617
def_explosive_pass_rate_l8_diff,3018,0.5559973492379059,0.6842463402910984,0.24558494079158014
def_turnovers_per_drive_l3_diff,3018,0.5487077534791253,0.6843172871666159,0.24563504751325915
def_total_epa_ewm_diff,3018,0.5546719681908548,0.6843482275349041,0.24563690978864652
plays_per_drive_l3_diff,3018,0.5540092776673293,0.6844349238148766,0.24565699735719254
rush_epa_ewm_diff,3018,0.5467196819085487,0.6844379583542695,0.24567420638411908
def_completion_rate_l8_diff,3018,0.5530152418820411,0.6844451386649753,0.2456725018172532
qb_hit_rate_std_diff,3018,0.5583167660702452,0.6844806181486621,0.24562224454670253
def_yards_per_play_ewm_diff,3018,0.5536779324055666,0.6845178104611083,0.24573044813643222
rush_epa_l5_diff,3018,0.5540092776673293,0.6845412560900975,0.2457260921823523
red_zone_td_rate_l8_diff,3018,0.5526838966202783,0.6846164443220817,0.24577697898283246
def_pass_success_l5_diff,3018,0.550364479787939,0.6846296145831817,0.24576733589498811
fg_attempt_rate_l5_diff,3018,0.5513585155732273,0.6847679664852776,0.24585448382383623
turnovers_per_drive_l5_diff,3018,0.5566600397614314,0.6849206142471408,0.2459211527930789
def_turnovers_per_drive_std_diff,3018,0.5473823724320742,0.6850040845772982,0.24590502753319243
def_explosive_pass_rate_l5_diff,3018,0.5536779324055666,0.6850233263283656,0.24596129976788683
fg_attempt_rate_l8_diff,3018,0.549039098740888,0.6850792563263401,0.2460021343578794
def_cpoe_l8_diff,3018,0.5520212060967529,0.6851780972098561,0.246035290861496
def_pass_epa_l3_diff,3018,0.5526838966202783,0.6852832359640635,0.2460845763581015
